file,session_started,n_calls,n_success,n_failed,models,lat_ms_p50,lat_ms_mean,lat_ms_max,sum_llm_s,wall_span_s,llm_share
llm-communication-20260329-171622.log,2026-03-29T17:16:22.785000,1820,1816,3,"{""local|qwen2.5-coder:14b"": 1820}",4804,5480.2,241009,9968.5,10445.2,0.954
llm-communication-20260329-202344.log,2026-03-29T20:23:44.822000,38,37,0,"{""local|qwen2.5-coder:14b"": 38}",2044,2991.3,14210,110.7,111.7,0.991
llm-communication-20260329-202807.log,2026-03-29T20:28:07.285000,491,490,1,"{""local|qwen2.5-coder:14b"": 491}",2771,5502.7,241008,2701.8,2703.9,0.999
llm-communication-20260329-221420.log,2026-03-29T22:14:20.186000,389,387,1,"{""local|qwen2.5-coder:14b"": 389}",2616.0,4802.2,241011,1863.3,1866.7,0.998
llm-communication-20260329-225654.log,2026-03-29T22:56:54.946000,3159,3158,1,"{""local|qwen2.5-coder:14b"": 3159}",5971,7340.9,241011,23189.9,51892.3,0.447
llm-communication-20260330-152953.log,2026-03-30T15:29:53.362000,454,454,0,"{""local|qwen2.5-coder:14b"": 454}",2707.0,4753.8,123167,2158.2,2165.2,0.997
llm-communication-20260330-161302.log,2026-03-30T16:13:02.981000,815,813,2,"{""local|qwen2.5-coder:14b"": 815}",2471,5134.0,241011,4184.2,8597.1,0.487
llm-communication-20260330-193311.log,2026-03-30T19:33:11.645000,6169,6166,3,"{""local|qwen2.5-coder:14b"": 6169}",6777,7246.9,241014,44706.2,163331.2,0.274
llm-communication-20260401-165942.log,2026-04-01T16:59:42.537000,4941,4940,1,"{""local|qwen2.5-coder:14b"": 4941}",6740,7391.6,241033,36521.7,124364.5,0.294
llm-communication-20260405-212636.log,2026-04-05T21:26:36.996000,4523,4522,1,"{""local|qwen2.5-coder:14b"": 4523}",2833,7326.6,241011,33138.3,84892.2,0.39
llm-communication-20260407-164731.log,2026-04-07T16:47:31.846000,6868,6868,0,"{""local|qwen2.5-coder:14b"": 6868}",6855.5,7406.1,135543,50864.8,186491.1,0.273
llm-communication-20260412-021754.log,2026-04-12T02:17:54.459000,20944,20943,1,"{""local|qwen2.5-coder:14b"": 20944}",2952.0,8316.9,241041,174188.6,348730.4,0.499
llm-communication-20260416-143229.log,2026-04-16T14:32:29.097000,15,14,0,"{""local|qwen2.5-coder:14b"": 15}",2085.0,3964.7,11626,55.5,56.0,0.991
